#l i j a[l] 

0 0.0 0.0 1 
1 1.0 0.0 1 
2 2.0 0.0 1 
3 3.0 0.0 1 
4 4.0 0.0 1 
5 0.0 1.0 1 
6 1.0 1.0 100 
7 2.0 1.0 100 
8 3.0 1.0 -400 
9 4.0 1.0 100 
10 0.0 2.0 100 
11 1.0 2.0 100 
12 2.0 2.0 100 
13 3.0 2.0 -400 
14 4.0 2.0 100 
15 0.0 3.0 100 
16 1.0 3.0 100 
17 2.0 3.0 100 
18 3.0 3.0 -400 
19 4.0 3.0 100 
20 0.0 4.0 100 
21 1.0 4.0 1 
22 2.0 4.0 1 
23 3.0 4.0 100 
24 4.0 4.0 100 
25 0.0 5.0 -400 
26 1.0 5.0 100 
27 2.0 5.0 100 
28 3.0 5.0 100 
29 4.0 5.0 100 
30 0.0 6.0 -400 
31 1.0 6.0 100 
32 2.0 6.0 100 
33 3.0 6.0 100 
34 4.0 6.0 100 
35 0.0 7.0 -400 
36 1.0 7.0 100 
37 2.0 7.0 100 
38 3.0 7.0 1 
39 4.0 7.0 1 
40 0.0 8.0 100 
41 1.0 8.0 100 
42 2.0 8.0 -400 
43 3.0 8.0 100 
44 4.0 8.0 100 
45 0.0 9.0 100 
46 1.0 9.0 100 
47 2.0 9.0 -400 
48 3.0 9.0 100 
49 4.0 9.0 100 
50 0.0 10.0 100 
51 1.0 10.0 100 
52 2.0 10.0 -400 
53 3.0 10.0 100 
54 4.0 10.0 100 
55 0.0 11.0 1 
56 1.0 11.0 1 
57 2.0 11.0 1 
58 3.0 11.0 1 
59 4.0 11.0 1 
60 0.0 12.0 1 
61 1.0 12.0 0 
62 2.0 12.0 0 
63 3.0 12.0 0 
64 4.0 12.0 0 
65 0.0 13.0 0 
66 1.0 13.0 0 
67 2.0 13.0 0 
68 3.0 13.0 0 
69 4.0 13.0 0 
70 0.0 14.0 0 
71 1.0 14.0 0 
72 2.0 14.0 0 
73 3.0 14.0 0 
74 4.0 14.0 -nan 
75 0.0 15.0 -nan 
76 1.0 15.0 0 
77 2.0 15.0 0 
78 3.0 15.0 0 
79 4.0 15.0 0 
80 0.0 16.0 0 
81 1.0 16.0 0 
82 2.0 16.0 0 
83 3.0 16.0 0 
84 4.0 16.0 0 
85 0.0 17.0 0 
86 1.0 17.0 0 
87 2.0 17.0 0 
88 3.0 17.0 0 
89 4.0 17.0 0 
90 0.0 18.0 0 
91 1.0 18.0 0 
92 2.0 18.0 0 
93 3.0 18.0 0 
94 4.0 18.0 0 
95 0.0 19.0 0 
96 1.0 19.0 0 
97 2.0 19.0 0 
98 3.0 19.0 0 
99 4.0 19.0 0 
100 0.0 20.0 0 
101 1.0 20.0 0 
102 2.0 20.0 0 
103 3.0 20.0 0 
104 4.0 20.0 0 
105 0.0 21.0 0 
106 1.0 21.0 0 
107 2.0 21.0 0 
108 3.0 21.0 0 
109 4.0 21.0 0 
110 0.0 22.0 0 
111 1.0 22.0 -nan 
112 2.0 22.0 0 
113 3.0 22.0 0 
114 4.0 22.0 0 
115 0.0 23.0 0 
116 1.0 23.0 0 
117 2.0 23.0 0 
118 3.0 23.0 0 
119 4.0 23.0 0 
120 0.0 24.0 0 
121 1.0 24.0 0 
122 2.0 24.0 -nan 
123 3.0 24.0 0 
124 4.0 24.0 0 
